country,product,value_max,value_min,value_mean,value_median,value_std,annual_change_mean,annual_change_median,annual_change_std,3_year_avg_mean
Belgium,Naphtha,4465.4,263.5,1677.6999999999998,304.2,2414.3047839906208,-37.46785064416334,-13.379355687047989,48.40188979309502,1088.8707222222222
Belgium,Other oil products,450.4,-29.1,155.5,45.2,258.0787282981687,-122.54131999334396,-106.46092362344584,125.51985894945203,581.4707222222222
Belgium,Residual fuel oil,529.5,-50.8,215.3642857142857,39.25,272.6319691364865,-20.058246227257236,-5.836575875486383,33.29082569615613,641.6757738095238
Belgium,Total gas oil production,2068.05,26.6,568.7857142857143,496.15,689.2831824404526,-14.347405052006621,-5.836575875486383,34.20950824536211,755.7972023809524
Belgium,Total kerosene production,1599.75,137.1,626.2166666666667,141.8,843.1078731890323,-33.42907279899468,-5.836575875486383,49.99167153881445,738.3762777777778
Belgium,Total oil production,6139.1,129.2,4544.05,5953.950000000001,2944.8969019871192,-1.901354589528964,-1.9491182185734757,4.544671502315851,2099.758729166667
Belgium,Total oil products production,20081.55,123.6,5558.621428571429,4980.799999999999,6729.426246460215,-15.231841417637611,-5.836575875486383,33.95086897626175,2414.4567261904763
Canada,Crude oil,211728.60000000044,-396.648,41625.31642857149,10380.39,75537.18895596414,-14.893031770574158,-5.836575875486383,34.018989923077406,13539.966250000003
Canada,Gasoline and diesel,28183.252500000002,2276.124,10957.631166666668,2413.517,14917.983843289738,-34.32185533843205,-5.836575875486383,49.462649822729816,4182.181111111112
Canada,Liquified Petroleum Gas,6867.784,745.87,2806.500666666667,805.848,3517.30238610918,-28.978270303920212,-5.836575875486383,52.561267343042154,1465.1376111111113
Canada,Middle distillates,2704.009,280.481,1979.831125,2467.41725,1138.4062592777366,-0.6118041446637827,-3.3234718048197163,7.483717671271331,1232.4123541666665
Canada,Naphtha,775.896,94.944,334.996,134.148,382.3334224260285,-17.436058521121417,-5.836575875486383,65.30474997740083,641.3027222222222
Canada,Other oil products,20112.2885,1168.59,7666.986166666666,1720.08,10781.474756779755,-43.11535781092181,-32.0618808427515,43.862821309172496,3085.2994444444444
Canada,Residual fuel oil,2631.9925000000003,-74.722,581.2587857142859,320.625,915.8945090948821,-20.751715931662318,-5.836575875486383,31.917711268570606,764.7797499999999
Canada,Total gas oil production,30656.699500000002,67.139,5902.176285714287,1943.675,10947.27641347002,-16.878350345540817,-5.836575875486383,33.51645921472855,2531.663630952381
Canada,Total kerosene production,5101.535,629.002,2125.246333333333,645.202,2577.55432154132,-31.900068132227446,-5.836575875486383,48.05224392083526,1238.0528333333332
Canada,Total oil production,16833.443,2.348,12525.953625,16634.011749999998,8349.645533973136,-2.6685534578974295,-3.1215634746309115,3.732166875309462,4770.964270833333
Canada,Total oil products production,94329.448,398.996,18631.566357142856,6821.013,33484.0067604243,-16.07875903371176,-5.836575875486383,33.56109096425235,6758.990940476191
Chile,Crude oil,422.4595,18.254,239.8422857142857,359.5085,198.80225941452838,-11.804907267670824,-5.836575875486383,37.451624786038536,646.5468214285713
Chile,Gasoline and diesel,9318.7555,714.008,3610.9485,800.082,4943.293208510471,-36.00300196624781,-10.758147289902775,48.05062948063351,1733.2868888888888
Chile,Liquified Petroleum Gas,1377.5975,93.559,525.2698333333334,104.653,738.1582538542012,-29.062452149332177,-5.836575875486383,56.252223840758155,704.7273333333333
Chile,Middle distillates,404.645,-124.587,247.448625,354.86825,249.1415269030085,-2.0915485638957367,-5.836575875486383,11.66624951463283,688.7071874999999
Chile,Naphtha,51.010000000000005,2.384,19.392,4.782,27.408229494077144,-0.1919113800941498,-5.836575875486383,98.07872716807042,536.1013888888889
Chile,Other oil products,693.261,161.375,344.993,180.343,301.7580092126802,-30.113529325515945,-10.517735648181514,38.06693801162098,644.6350555555555
Chile,Residual fuel oil,475.067,27.748,114.09485714285714,61.409,160.75809712259036,-10.775947352735328,-5.836575875486383,44.69740998862795,604.1789166666666
Chile,Total gas oil production,3912.949,-51.607,721.6305000000001,175.764,1413.415012290652,-15.88204557095965,-5.836575875486383,33.42131353317462,810.4696071428571
Chile,Total kerosene production,862.1205,59.375,327.5201666666667,61.065,462.9782406604908,-32.03439059871689,-5.836575875486383,53.07341573504658,638.8107777777777
Chile,Total oil production,1358.504,-181.894,951.2304999999999,1314.156,755.9519581166077,-4.182856737967361,-4.685153215106724,2.078265458722694,928.0767291666666
Chile,Total oil products production,16690.7605,-200.148,3168.171142857143,940.726,5988.841629702975,-17.32706557607624,-5.836575875486383,32.54761356996865,1633.0565357142857
Czech Republic,Crude oil,1244.0,-30.0,538.0,82.5,651.1499443292612,-18.941674487722928,-5.836575875486383,32.59298150603515,748.2305357142857
Czech Republic,Gasoline and diesel,5159.0,383.0,1982.6666666666667,406.0,2750.809396038434,-34.54395276930928,-5.836575875486383,49.87127683283548,1190.5262777777778
