Country,Code,Value_max,Value_min,Value_mean,Value_median,Value_std,Annual_Growth_Rate_mean,Annual_Growth_Rate_median,Annual_Growth_Rate_std,5_Year_Growth_Rate_mean,10_Year_Growth_Rate_mean
Czechia,CZE,10864042.0,9586651.0,10237180.578125,10304162.0,291371.8432549228,0.19727750496717103,0.1384216945580885,0.46773108961516546,0.8782458243132859,1.6362206465942972
Denmark,DNK,5946952.0,4579603.0,5246286.8125,5162834.0,338803.53628108307,0.41586481393308955,0.3769810353407177,0.24532777880000775,2.0025631863480475,3.8196951018105954
Djibouti,DJI,1152944.0,86024.0,573017.6875,620127.5,350891.32351067814,4.244954355646079,3.619815284384309,2.8915398112407322,24.30866488844439,57.10215298721179
Dominica,DMA,73083.0,59372.0,68791.53125,69121.0,3018.072411055277,0.18315685947042185,0.059587826643014985,0.7543265529000207,0.8848890752427157,1.589227487723647
Dominican Republic,DOM,11331265.0,3268336.0,7329200.53125,7373663.5,2478188.6703887656,1.9954946781749434,2.022246201396105,0.7091686495091175,10.406122379925277,21.93920982070908
Early-demographic dividend,EAR,3511076811.0,968909356.0,2154475025.28125,2115478354.5,791933950.7751471,2.065920197144581,2.234677961124243,0.5052079221974404,10.860111362067599,23.167851302750403
East Asia & Pacific,EAS,2384463611.0,1042838451.0,1799486722.71875,1856632167.0,423567372.4164816,1.3236655992501543,1.2939006724961066,0.684028897352497,7.0521251843625725,14.664093534834556
East Asia & Pacific (IDA & IBRD countries),TEA,2111139152.0,883558197.0,1567344636.625,1615621577.5,388433608.99705726,1.3934432384683946,1.3530868798600215,0.721843863551355,7.46030676733309,15.54633281583372
East Asia & Pacific (excluding high income),EAP,2137527754.0,895534581.0,1587959742.203125,1637185615.0,392943684.5065582,1.392262891328853,1.3543955978052358,0.7216674882430255,7.450725358177452,15.523393338001224
Ecuador,ECU,17980083.0,4590891.0,10933116.875,10816254.0,4124106.9132060525,2.1925875197272733,2.128012647654076,0.6391769522137597,11.605579015095666,24.68773324515999
"Egypt, Arab Rep.",EGY,114535772.0,26896479.0,63650200.59375,60754828.5,26575677.164057355,2.327136422785641,2.3320402063949475,0.36993446792605805,12.278659524196854,26.264537113742215
El Salvador,SLV,6309624.0,2791459.0,5076524.15625,5540343.0,1120318.1756473687,1.3077442834296302,1.135037223786206,1.0016079946952334,6.708681906734957,13.833317189684188
Equatorial Guinea,GNQ,1847549.0,269807.0,716950.828125,501493.5,495710.45928004856,3.1286628683555513,3.7951183250538145,2.392712280748704,17.54299373320166,39.85126124128134
Eritrea,ERI,3470390.0,972547.0,2083260.234375,1928913.0,756271.9788025105,2.0547614086221633,2.423850646660619,1.7353440338989365,10.73181817296763,22.75132419808822
Estonia,EST,1569174.0,1211537.0,1392298.859375,1373837.5,90613.87941952434,0.19984009749006926,0.3989371918816875,0.9227971863451754,0.7339626624690551,0.9592655049741197
Eswatini,SWZ,1230506.0,345337.0,822292.4375,925802.5,299743.8420715355,2.045920018574283,2.29543894804205,1.3304835518020008,10.960093957309885,23.924484087949125
Ethiopia,ETH,128691692.0,21376693.0,59562702.34375,50785472.5,32042943.060390588,2.8920811724811943,2.7945517254345686,0.5962060853168796,15.453538874575816,33.59710748453903
Euro area,EMU,349670802.0,270148970.0,316626942.78125,318075441.5,22251564.216697764,0.4106321640096773,0.4110531402993445,0.22089164053729285,2.0186609137715377,3.9837629401866823
Europe & Central Asia,ECS,925385334.5,667887811.0,826964061.671875,850916942.25,73573290.83093458,0.5186920167492988,0.4625156396902641,0.3077899066799157,2.6057623850460474,5.149528012564032
Europe & Central Asia (IDA & IBRD countries),TEC,463913014.5,308759361.0,409621246.703125,433988257.75,45519843.552974455,0.632765899860461,0.5213985234063356,0.5246615379147274,3.241800547132772,6.459840483258525
Europe & Central Asia (excluding high income),ECA,252183790.0,128810451.0,199762242.90625,211100716.25,35836814.767310075,1.054564823786598,0.9064081557256909,0.6280655331190736,5.453059477764495,11.011138248980549
European Union,EUU,448804042.0,357710931.0,416387471.859375,422355132.5,25684698.347116835,0.36103990540659914,0.30838486726461056,0.24482838860642503,1.7793316248543074,3.4966580803577445
Faroe Islands,FRO,54482.0,34127.0,44684.9375,45730.5,5167.13664183528,0.750187428767505,1.1513056992699555,0.9949405105891932,3.7049594372629726,6.95512936521766
Fiji,FJI,924145.0,404887.0,735916.25,782501.0,166627.02075631957,1.323262650242074,1.0388298421600606,0.9855927332156186,6.732020241280141,13.864463605784401
Finland,FIN,5583911.0,4429634.0,5020533.75,5027866.0,341418.8891190741,0.36841242085348785,0.37550408306183947,0.1809312402749558,1.8072161919590017,3.6632870303225054
Fragile and conflict affected situations,FCS,1058789534.0,245446477.0,559394727.71875,506353752.5,241675267.9429788,2.3475706472011697,2.326778268582652,0.1580605843122356,12.390395134037712,26.490041330916213
